"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","slg_percent","on_base_percent","isolated_power","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_game","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly"
"Helman, Michael",680737,2025,99,110,23,12,5,1,5,21,7,19.1,6.4,".455",".290","0.223","45","0","4","38","0","1","0","3","0"
"McLain, Matt",680574,2025,510,577,112,79,18,0,15,167,55,28.9,9.5,".343",".300","0.123","175","2","18","147","8","5","0","3","4"
"Myers, Dane",667472,2025,307,333,72,56,10,0,6,77,23,23.1,6.9,".326",".291","0.091","100","5","18","106","12","2","0","0","1"
"Hilliard, Sam",656541,2025,51,61,10,4,3,1,2,23,10,37.7,16.4,".412",".328","0.216","21","1","2","20","1","0","0","0","0"
"Meyers, Jake",676694,2025,343,381,100,80,15,2,3,67,31,17.6,8.1,".373",".354","0.081","128","5","16","104","9","3","0","2","2"
"Bogaerts, Xander",593428,2025,491,552,129,88,30,0,11,94,48,17,8.7,".391",".328","0.128","192","2","20","136","12","4","3","1","8"
"Haase, Eric",606992,2025,70,77,16,11,3,0,2,31,4,40.3,5.2,".357",".289","0.128","25","0","0","30","1","2","0","1","0"
"Rojas, Miguel",500743,2025,290,317,76,51,18,0,7,46,24,14.5,7.6,".397",".318","0.135","115","0","5","114","7","0","1","3","0"
"Straw, Myles",664702,2025,267,299,70,51,14,1,4,50,19,16.7,6.4,".367",".313","0.105","98","1","12","137","5","1","0","11","1"
"Trevino, Jose",624431,2025,282,302,67,43,20,0,4,39,15,12.9,5,".351",".272","0.113","99","0","0","93","9","0","0","1","4"
"Trejo, Alan",676701,2025,40,43,7,5,2,0,0,7,1,16.3,2.3,".225",".190","0.050","9","0","0","13","3","0","0","1","1"
"Nola, Austin",543592,2025,38,41,7,6,1,0,0,5,2,12.2,4.9,".211",".225","0.027","8","0","0","14","2","0","0","1","0"
"Thomas, Colby",687515,2025,120,132,27,16,5,0,6,49,7,37.1,5.3,".417",".267","0.192","50","1","2","49","3","1","0","1","3"
"McNeil, Jeff",643446,2025,399,462,97,59,21,5,12,55,49,11.9,10.6,".411",".335","0.168","164","0","3","122","5","8","4","2","4"
"Arenado, Nolan",571448,2025,401,436,95,64,18,1,12,49,28,11.2,6.4,".377",".289","0.140","151","0","3","107","10","3","4","0","4"
"Larnach, Trevor",663616,2025,503,567,126,84,24,1,17,122,53,21.5,9.3,".404",".323","0.154","203","4","4","142","19","4","2","0","6"
"Vivas, Jorbit",678391,2025,56,66,9,6,2,0,1,13,5,19.7,7.6,".250",".266","0.089","14","0","0","29","0","3","0","0","0"
"Ramírez, José",608070,2025,593,673,168,101,34,3,30,74,66,11,9.8,".503",".360","0.220","298","7","44","158","9","8","22","0","5"
"Amaya, Miguel",665804,2025,96,103,27,14,9,0,4,22,4,21.4,3.9,".500",".314","0.219","48","0","0","28","0","1","0","1","1"
"Hernaiz, Darell",687231,2025,173,197,40,32,5,1,2,24,17,12.2,8.6,".306",".292","0.075","53","4","3","51","2","0","0","2","5"
"Campusano, Luis",669134,2025,21,27,0,0,0,0,0,11,6,40.7,22.2,".000",".222","0.000","0","0","0","10","2","0","0","0","0"
"Contreras, William",661388,2025,566,659,147,102,28,0,17,120,84,18.2,12.7,".399",".355","0.139","226","4","6","150","14","3","4","0","6"
"Hernández, Enrique",571771,2025,232,256,47,29,8,0,10,68,18,26.6,7,".366",".255","0.163","85","0","0","92","7","0","0","1","5"
"Hernández, Heriberto",681715,2025,256,294,68,45,12,1,10,77,31,26.2,10.5,".438",".347","0.172","112","1","1","87","6","3","0","0","4"
"Turang, Brice",668930,2025,584,659,168,120,28,2,18,150,66,22.8,10,".435",".359","0.147","254","8","24","156","3","2","1","2","5"
"Sosa, Edmundo",624641,2025,243,261,67,43,12,1,11,56,10,21.5,3.8,".469",".307","0.193","114","1","1","89","7","2","0","3","2"
"Stallings, Jacob",607732,2025,119,129,16,12,4,0,0,40,6,31,4.7,".168",".195","0.034","20","0","0","42","5","3","0","1","0"
"Wilson, Will",669717,2025,78,91,15,11,4,0,0,34,7,37.4,7.7,".244",".267","0.052","19","0","2","34","1","1","0","5","0"
"García, Adolis",666969,2025,507,547,115,68,28,0,19,135,28,24.7,5.1,".394",".271","0.167","200","4","13","135","9","5","1","0","7"
"Vientos, Mark",668901,2025,424,463,99,59,21,2,17,115,30,24.8,6.5,".413",".289","0.180","175","0","1","121","11","5","0","0","4"
"Whitcomb, Shay",694376,2025,32,32,4,3,0,0,1,10,0,31.3,0,".219",".125","0.094","7","0","0","20","0","0","0","0","0"
"Candelario, Jeimer",600869,2025,80,91,9,5,2,0,2,29,9,31.9,9.9,".212",".198","0.099","17","1","0","22","1","0","0","0","2"
"Alvarez Jr., Nacho",805373,2025,188,208,44,30,12,0,2,49,12,23.6,5.8,".330",".296","0.096","62","0","0","58","1","5","0","2","1"
"Davidson, Logan",669722,2025,42,47,7,4,2,0,1,22,3,46.8,6.4,".286",".222","0.119","12","0","0","19","1","0","0","2","0"
"Alvarez, Yordan",670541,2025,165,199,45,31,8,0,6,33,28,16.6,14.1,".430",".367","0.157","71","1","1","48","1","0","5","0","6"
"Mountcastle, Ryan",663624,2025,332,357,83,58,18,0,7,98,15,27.5,4.2,".367",".286","0.117","122","0","3","89","10","4","0","0","6"
"Bailey, Patrick",672275,2025,409,452,91,64,18,3,6,133,30,29.4,6.6,".325",".277","0.103","133","0","1","135","7","3","0","4","6"
"Misner, Kameron",670224,2025,197,217,42,27,9,1,5,69,16,31.8,7.4,".345",".273","0.132","68","1","8","71","1","1","0","1","2"
"Carlson, Dylan",666185,2025,217,241,44,28,9,1,6,54,21,22.4,8.7,".336",".278","0.133","73","3","3","83","3","2","0","0","1"
"McCray, Grant",687529,2025,22,26,2,1,0,1,0,11,2,42.3,7.7,".182",".160","0.091","4","0","0","22","1","0","0","1","1"
"Domínguez, Jasson",691176,2025,381,429,98,69,18,1,10,115,41,26.8,9.6,".388",".331","0.131","148","5","23","123","5","3","1","0","4"
"Riley, Austin",663586,2025,416,447,108,71,20,1,16,128,27,28.6,6,".428",".309","0.168","178","1","2","102","9","3","1","0","1"
"Campero, Gustavo",672569,2025,58,66,10,6,1,0,3,14,5,21.2,7.6,".345",".273","0.173","20","1","4","28","2","3","0","0","0"
"Barrero, José",676480,2025,29,31,4,2,1,0,1,9,1,29,3.2,".276",".194","0.138","8","0","0","22","0","1","0","0","0"
"Naylor, Josh",647304,2025,543,604,160,110,29,1,20,83,48,13.7,7.9,".462",".353","0.167","251","2","30","147","17","4","4","0","5"
"Vargas, Ildemaro",545121,2025,115,121,31,25,2,1,3,15,2,12.4,1.7,".383",".292","0.113","44","0","0","38","3","2","0","1","1"
"Alvarez, Francisco",682626,2025,246,277,63,39,12,1,11,73,27,26.4,9.7,".447",".339","0.191","110","0","0","76","6","4","0","0","0"
"Horwitz, Spencer",687462,2025,364,411,99,62,26,0,11,73,44,17.8,10.7,".434",".353","0.162","158","1","0","108","7","2","1","0","1"
"Lawlar, Jordan",691783,2025,66,74,12,5,7,0,0,26,6,35.1,8.1,".288",".257","0.106","19","0","2","28","0","1","0","0","1"
"Rojas, Josh",668942,2025,189,211,34,23,9,0,2,48,19,22.7,9,".259",".252","0.079","49","1","4","69","6","0","0","1","2"
"Sogard, Nick",686765,2025,96,104,25,17,8,0,0,24,5,23.1,4.8,".344",".317","0.084","33","1","2","30","3","3","0","0","0"
"Wagaman, Eric",676572,2025,476,514,119,79,28,3,9,100,32,19.5,6.2,".378",".296","0.128","180","1","4","140","11","1","0","0","5"
"Solak, Nick",669256,2025,11,11,1,1,0,0,0,2,0,18.2,0,".091",".091","0.000","1","0","0","4","0","0","0","0","0"
"Paredes, Isaac",670623,2025,378,438,96,60,15,1,20,76,50,17.4,11.4,".458",".352","0.204","173","1","0","102","10","8","0","0","2"
"Fulford, Braxton",690924,2025,108,120,23,15,5,2,1,36,7,30,5.8,".324",".267","0.111","35","0","1","38","1","2","0","0","3"
"Turner, Trea",607208,2025,589,639,179,126,31,7,15,107,43,16.7,6.7,".457",".355","0.153","269","7","36","141","11","5","1","0","2"
"Slater, Austin",596103,2025,148,160,32,20,6,1,5,51,11,31.9,6.9,".372",".270","0.156","55","0","1","65","6","0","0","1","0"
"Acuña Jr., Ronald",660670,2025,338,412,98,64,12,1,21,102,71,24.8,17.2,".518",".417","0.228","175","1","9","95","5","3","4","0","0"
"Baddoo, Akil",668731,2025,17,18,2,1,1,0,0,5,1,27.8,5.6,".176",".167","0.058","3","0","1","7","0","0","0","0","0"
"Barnhart, Tucker",571466,2025,13,15,3,3,0,0,0,4,1,26.7,6.7,".231",".333","0.000","3","0","0","8","2","1","0","0","0"
"Torres, Gleyber",650402,2025,532,628,136,98,22,0,16,101,85,16.1,13.5,".387",".358","0.131","206","1","4","145","11","4","0","0","7"
"Winkler, Jack",676466,2025,16,16,4,2,2,0,0,4,0,25,0,".375",".250","0.125","6","0","1","14","0","0","0","0","0"
"Meadows, Parker",678009,2025,191,213,41,29,6,2,4,56,21,26.3,9.9,".330",".291","0.115","63","0","4","58","0","0","0","0","1"
"Beck, Jordan",687597,2025,539,588,139,91,27,5,16,174,43,29.6,7.3,".416",".317","0.158","224","8","19","148","9","4","0","0","1"
"Schmitt, Casey",669477,2025,312,348,74,47,15,0,12,83,27,23.9,7.8,".401",".305","0.164","125","0","0","95","6","5","1","1","3"
"Malloy, Justyn-Henry",669234,2025,104,127,23,16,6,0,1,32,20,25.2,15.7,".308",".346","0.087","32","0","0","52","1","1","0","0","2"
"Young, Jared",676724,2025,43,47,8,3,1,0,4,16,2,34,4.3,".488",".234","0.302","21","0","0","22","1","1","0","0","1"
"Jensen, Carter",695600,2025,60,69,18,9,6,0,3,12,9,17.4,13,".550",".391","0.250","33","0","0","20","1","0","0","0","0"
"Rocchio, Brayan",677587,2025,344,383,80,55,18,2,5,77,22,20.1,5.7,".340",".290","0.107","117","4","8","115","4","8","0","4","5"
"Garcia, Maikel",672580,2025,595,666,170,110,39,5,16,84,62,12.6,9.3,".449",".351","0.163","267","9","23","160","14","1","0","3","5"
"Marsh, Brandon",669016,2025,379,425,106,68,25,2,11,110,38,25.9,8.9,".443",".342","0.163","168","1","7","133","2","0","1","3","4"
"Grisham, Trent",663757,2025,494,581,116,72,9,1,34,137,82,23.6,14.1,".464",".348","0.229","229","2","3","143","7","4","0","0","1"
"Pillar, Kevin",607680,2025,43,43,9,7,2,0,0,8,0,18.6,0,".256",".209","0.047","11","0","3","20","0","0","0","0","0"
"Andujar, Miguel",609280,2025,321,341,102,74,17,1,10,49,17,14.4,5,".470",".352","0.152","151","0","1","94","8","1","1","0","2"
"Rengifo, Luis",650859,2025,501,541,119,91,16,3,9,104,33,19.2,6.1,".335",".287","0.097","168","7","10","147","7","3","0","1","3"
"Casas, Triston",671213,2025,99,112,18,12,3,0,3,27,11,24.1,9.8,".303",".277","0.121","30","0","0","29","3","2","2","0","0"
"Toglia, Michael",669911,2025,306,337,58,31,15,1,11,132,28,39.2,8.3,".353",".258","0.163","108","0","3","88","7","1","2","0","2"
"Mauricio, Ronny",677595,2025,168,184,38,26,6,0,6,54,15,29.3,8.2,".369",".293","0.143","62","0","4","61","5","1","1","0","0"
"DeLuca, Jonny",676356,2025,57,59,19,15,1,3,0,13,2,22,3.4,".456",".356","0.123","26","0","6","20","0","0","0","0","0"
"Bohm, Alec",664761,2025,464,504,133,101,18,3,11,82,29,16.3,5.8,".409",".331","0.122","190","0","2","120","16","5","0","0","6"
"Soto, Juan",665742,2025,577,715,152,88,20,1,43,137,127,19.2,17.8,".525",".396","0.262","303","4","38","160","17","3","13","1","6"
"Monasterio, Andruw",655316,2025,126,135,34,21,9,0,4,32,7,23.7,5.2,".437",".319","0.167","55","1","2","68","1","2","0","0","0"
"Campbell, Kristian",692225,2025,229,263,51,35,10,0,6,72,29,27.4,11,".345",".319","0.122","79","1","2","67","1","4","0","0","1"
"Martínez, Angel",682657,2025,446,484,100,64,23,2,11,110,23,22.7,4.8,".359",".269","0.135","160","2","8","139","8","6","0","5","4"
"Ornelas, Jonathan",680716,2025,9,10,2,2,0,0,0,3,1,30,10,".222",".300","0.000","2","0","0","6","0","0","0","0","0"
"Williams, Carson",700246,2025,99,106,17,9,3,0,5,44,6,41.5,5.7,".354",".219","0.182","35","1","2","32","3","0","0","1","0"
"Jackson, Alex",656577,2025,91,100,20,7,8,0,5,37,5,37,5,".473",".290","0.253","43","0","0","36","2","4","0","0","0"
"Rivero, Sebastián",665861,2025,33,34,6,4,2,0,0,9,1,26.5,2.9,".242",".206","0.060","8","0","1","11","0","0","0","0","0"
"Mullins, Cedric",656775,2025,435,498,94,53,23,1,17,120,50,24.1,10,".391",".299","0.175","170","4","22","133","2","4","0","3","6"
"Marte, Noelvi",682622,2025,339,360,89,56,17,2,14,85,16,23.6,4.4,".448",".300","0.185","152","3","10","90","7","3","0","0","2"
"Isbel, Kyle",664728,2025,368,409,94,70,16,4,4,74,23,18.1,5.6,".353",".301","0.098","130","5","4","135","7","2","0","13","3"
"Farmer, Kyle",571657,2025,277,300,63,41,14,0,8,66,17,22,5.7,".365",".280","0.138","101","1","0","97","9","4","0","0","2"
"León, Sandy",506702,2025,12,12,1,0,0,0,1,4,0,33.3,0,".333",".083","0.250","4","0","0","5","0","0","0","0","0"
"Narváez, Omar",553882,2025,7,10,2,2,0,0,0,1,2,10,20,".286",".400","0.000","2","0","0","4","0","0","0","0","1"
"Gonzalez, Oscar",660757,2025,59,61,13,12,1,0,0,13,2,21.3,3.3,".237",".246","0.017","14","1","0","21","1","0","0","0","0"
"Donovan, Brendan",680977,2025,460,515,132,90,32,0,10,67,42,13,8.2,".422",".353","0.135","194","3","3","118","4","7","3","2","4"
"Perkins, Blake",663368,2025,155,171,35,24,6,2,3,47,15,27.5,8.8,".348",".298","0.122","54","2","7","54","4","1","0","0","0"
"Hamilton, David",666152,2025,177,194,35,24,4,1,6,47,13,24.2,6.7,".333",".257","0.135","59","6","22","91","3","1","0","3","0"
"Anthony, Roman",701350,2025,257,303,75,48,18,1,8,84,40,27.7,13.2,".463",".396","0.171","119","1","4","71","2","5","0","0","1"
"Koss, Christian",683766,2025,174,191,46,34,9,0,3,45,9,23.6,4.7,".368",".309","0.104","64","1","4","74","4","3","0","3","2"
"Kelenic, Jarred",672284,2025,60,65,10,6,2,0,2,23,5,35.4,7.7,".300",".231","0.133","18","1","0","24","1","0","0","0","0"
"Steer, Spencer",668715,2025,509,568,121,77,21,2,21,129,51,22.7,9,".411",".312","0.173","209","1","7","146","12","5","0","1","2"
"Lopez, Nicky",670032,2025,24,28,1,1,0,0,0,4,4,14.3,14.3,".042",".179","0.000","1","0","0","18","1","0","0","0","0"
"Taylor, Michael A.",572191,2025,295,325,59,29,20,1,9,110,23,33.8,7.1,".366",".259","0.166","108","3","8","134","7","1","1","4","2"
"Tucker, Kyle",663656,2025,500,597,133,82,25,4,22,88,87,14.7,14.6,".464",".377","0.198","232","3","25","136","8","4","7","1","3"
"Harris, Brett",695391,2025,73,84,20,15,5,0,0,21,7,25,8.3,".342",".349","0.068","25","0","1","32","1","2","0","1","1"
"Peguero, Liover",678894,2025,80,88,16,11,1,0,4,25,6,28.4,6.8,".362",".273","0.162","29","0","4","33","3","2","0","0","0"
"Varsho, Daulton",662139,2025,248,271,59,24,13,2,20,77,17,28.4,6.3,".548",".284","0.310","136","0","2","71","1","1","1","0","5"
"Bleday, JJ",668709,2025,307,344,65,34,17,0,14,91,36,26.5,10.5,".404",".294","0.192","124","2","1","98","6","0","2","0","1"
"Wong, Connor",657136,2025,168,188,32,24,8,0,0,42,16,22.3,8.5,".238",".262","0.048","40","1","2","63","7","1","0","1","2"
"Tellez, Rowdy",642133,2025,289,312,66,38,11,0,17,83,17,26.6,5.4,".443",".276","0.215","128","0","1","112","9","3","0","0","3"
"Julks, Corey",667452,2025,12,13,3,1,2,0,0,3,0,23.1,0,".417",".231","0.167","5","0","0","6","0","0","0","0","1"
"Quero, Edgar",700337,2025,365,403,98,76,17,0,5,71,32,17.6,7.9,".356",".333","0.088","130","1","0","111","8","4","0","0","2"
"Hayes, Ke'Bryan",663647,2025,527,570,124,100,16,3,5,111,36,19.5,6.3,".306",".290","0.071","161","3","12","152","12","5","1","1","1"
"Kwan, Steven",680757,2025,625,693,170,129,29,1,11,60,55,8.7,7.9,".374",".330","0.102","234","5","21","156","3","3","2","3","7"
"Encarnacion-Strand, Christian",687952,2025,130,137,27,17,4,0,6,32,3,23.4,2.2,".377",".234","0.169","49","2","0","36","1","2","0","0","2"
"Caballero, José",676609,2025,314,370,74,50,18,1,5,98,47,26.5,12.7,".347",".339","0.111","109","11","49","126","1","3","0","4","2"
"Freeland, Alex",690976,2025,84,97,16,11,2,1,2,35,11,36.1,11.3,".310",".292","0.120","26","0","1","29","3","1","0","1","0"
"Call, Alex",669743,2025,270,322,72,52,13,2,5,55,36,17.1,11.2,".385",".361","0.118","104","1","2","110","6","6","0","6","4"
"Jankowski, Travis",608671,2025,45,50,11,9,2,0,0,12,3,24,6,".289",".286","0.045","13","0","2","25","0","0","0","1","1"
"Jung, Josh",673962,2025,482,511,121,83,23,1,14,129,27,25.2,5.3,".390",".294","0.139","188","1","4","131","10","2","0","0","0"
"Marte, Ketel",606466,2025,480,556,136,80,28,0,28,83,64,14.9,11.5,".517",".376","0.234","248","2","4","126","12","9","6","0","3"
"Sánchez, Jesús",660821,2025,451,497,107,68,21,4,14,110,42,22.1,8.5,".395",".304","0.158","178","3","13","134","10","2","1","0","2"
"Gonzalez, Romy",663853,2025,315,341,96,61,23,3,9,81,18,23.8,5.3,".483",".343","0.178","152","5","6","96","8","3","1","0","5"
"Olson, Matt",621566,2025,624,724,170,98,41,2,29,176,91,24.3,12.6,".484",".366","0.212","302","0","1","162","14","4","2","0","5"
"Barnes, Austin",605131,2025,42,44,9,6,3,0,0,14,1,31.8,2.3,".286",".233","0.072","12","0","0","13","1","0","0","1","0"
